"m_thr","p_thr","Sharpe","Ann_Ret","Trades","Score"
0.72,0.54,1.14769859339385,0.139235381897952,115,0.155004683572754
0.78,0.44,1.17207449244668,0.13658146166109,70,0.14536626537473
0.72,0.5,1.14804117099483,0.139032946648976,109,0.144559049317882
0.74,0.34,1.17445912566251,0.136209839870993,70,0.137431040801352
0.78,0.2,1.19594636850889,0.133928935047132,38,0.132588061208517
0.6,0.6,1.0996116324856,0.143674257017455,182,0.124284873253684
0.8,0.4,1.1740958895091,0.135845433335213,60,0.112354214358049
0.82,0.38,1.17854870209079,0.135254229584876,49,0.103950257941273
0.76,0.38,1.171997233147,0.135854296777891,68,0.0994718289949141
0.5,0.34,1.12391977295869,0.140774990327104,134,0.0988946974396906
0.56,0.36,1.12873774126593,0.140276825600625,125,0.0986372960416509
0.52,0.2,1.16654293404658,0.136385942648427,81,0.0977457517750707
0.8,0.2,1.19328458627208,0.133619110575084,34,0.0962035360762727
0.72,0.32,1.16180290393064,0.136687714179519,76,0.0862405058939902
0.74,0.44,1.15963417621234,0.136722250142684,84,0.0745123563942231
0.72,0.52,1.14204333341541,0.138525147476029,112,0.0744564780000887
0.6,0.38,1.13124660410526,0.139528434273194,116,0.0679741681441822
0.66,0.54,1.11628025676091,0.141048896539236,139,0.0670869666913149
0.7,0.2,1.17476753515944,0.134912745139666,54,0.0584226836888047
0.54,0.36,1.12508434944498,0.139864100531186,129,0.0494799107366562
0.58,0.36,1.12589410179555,0.139754035026333,118,0.0477921796230637
0.5,0.4,1.11355708053952,0.140947141053008,152,0.0432999725323513
0.68,0.56,1.11762858602782,0.140513874680018,133,0.0423155207145773
0.68,0.48,1.12501643522604,0.139696081376067,119,0.0385550096627133
0.62,0.36,1.13080655139324,0.139049595441751,107,0.0352610894050852
0.64,0.36,1.13080655139324,0.139049595441751,106,0.0352610894050852
0.82,0.44,1.16952944087305,0.135027498011365,55,0.0320524672497331
0.5,0.22,1.15277445974942,0.136522481325924,88,0.0181235365424863
0.78,0.28,1.1749541429853,0.134168193585876,50,0.0131320262303873
0.8,0.56,1.15237596735333,0.136347865855897,81,0.00467041322464547
0.76,0.58,1.14790944184343,0.136738931849684,96,0.000491176626032139
0.52,0.38,1.11739997654725,0.139813799323659,137,-0.00285656394489905
0.8,0.44,1.16114035304512,0.135239673944227,65,-0.00840814950517957
0.5,0.56,1.07739613240437,0.143820788919332,208,-0.00879195844863612
0.6,0.56,1.09404384668407,0.142109612279431,167,-0.00904757386174759
0.86,0.58,1.16464694733999,0.134821191917109,60,-0.0120861619581153
0.8,0.28,1.17233996388681,0.133858369113829,46,-0.0229477398096181
0.62,0.58,1.09202244092206,0.141875427022652,169,-0.0366098985063614
0.84,0.58,1.15738803893848,0.135133543609279,66,-0.0390569059018127
0.88,0.58,1.16443408433796,0.134373695535836,56,-0.041387919334495
0.76,0.6,1.14450227279828,0.136343917964207,99,-0.0459840906559994
0.5,0.58,1.07284040426292,0.143666910537126,219,-0.047565337477755
0.58,0.2,1.15813324511181,0.134782359369576,71,-0.0562118751660514
0.88,0.2,1.18458312237345,0.132054724113617,24,-0.0571748431748738
0.56,0.6,1.08108930137795,0.142653333736377,200,-0.0580368988963789
0.86,0.6,1.16113706816006,0.134426178031632,62,-0.0592189877235592
0.5,0.42,1.10345694720239,0.140327904724766,160,-0.0600232917049784
0.82,0.3,1.16880231084033,0.133572263203867,44,-0.0634588149652848
0.82,0.32,1.16876886963936,0.133568462986611,45,-0.0639101709881669
0.6,0.4,1.1188456551432,0.138571512950073,121,-0.0711621281862267
0.78,0.42,1.15682974557719,0.13454326248865,68,-0.07948475919221
0.52,0.34,1.11573927939596,0.138684727274633,126,-0.083980969997988
0.62,0.38,1.12135265764082,0.138102311244786,110,-0.0844062397899723
0.64,0.38,1.12135265764082,0.138102311244786,109,-0.0844062397899723
0.84,0.6,1.15390947869593,0.134738529723802,68,-0.0859892253296469
0.68,0.26,1.15346529927374,0.134776078517021,70,-0.0864885758994652
0.88,0.6,1.16091293224774,0.133978681650359,57,-0.0885929151716327
0.72,0.28,1.15117990795326,0.134675937801141,66,-0.107372019588928
0.82,0.46,1.15742486735318,0.133690314937979,57,-0.128927673969685
0.6,0.58,1.083640179585,0.141200140994068,176,-0.132434616330009
0.82,0.48,1.15334412632334,0.133932666315996,61,-0.1399219366351
0.52,0.4,1.10529535730381,0.138856878000537,142,-0.140095733757264
0.68,0.46,1.11652670716662,0.137697239343735,114,-0.14059262125633
0.54,0.6,1.07520937792019,0.14193245225983,206,-0.140688156265967
0.56,0.2,1.15128150858404,0.134009918893531,76,-0.14830379224917
0.74,0.42,1.14451744837014,0.134684050970244,82,-0.149519080138797
0.66,0.22,1.15515642275422,0.133589182210881,63,-0.149764558628577
0.68,0.22,1.15515642275422,0.133589182210881,61,-0.149764558628577
0.62,0.56,1.08451867408323,0.140683489251023,161,-0.159067062077648
0.84,0.36,1.16298684266415,0.132615045424401,41,-0.16045284646603
0.9,0.62,1.16043770830548,0.132863360951945,47,-0.161269275193437
0.68,0.5,1.10981453002408,0.137958893606418,122,-0.167228391609655
0.82,0.2,1.17484977771295,0.13118998910545,27,-0.173477362903997
0.5,0.48,1.07834204304475,0.141083352282554,182,-0.173645296506637
0.78,0.46,1.14760724156777,0.133967333297902,74,-0.17448553235012
0.58,0.6,1.07366931104941,0.141471412692122,191,-0.179332334149937
0.66,0.26,1.1458810648843,0.134024099272142,74,-0.181992526161688
0.78,0.48,1.14368423003703,0.134209684675919,78,-0.184469998168906
0.76,0.3,1.153825891541,0.133140367152067,61,-0.186304047450042
0.76,0.32,1.1537927764654,0.133136566934811,62,-0.186753315592262
0.56,0.56,1.07540692166862,0.141088688998353,184,-0.192102985358932
0.82,0.42,1.15415969575701,0.132989298838925,53,-0.193598806071624
0.78,0.26,1.16154037679889,0.132221082705314,46,-0.194309906916734
0.84,0.2,1.17370759378375,0.130927021582629,25,-0.197207831327229
0.86,0.2,1.17370759378375,0.130927021582629,25,-0.197207831327229
0.54,0.2,1.14735025091602,0.133597193824092,78,-0.199240096892359
0.66,0.52,1.09737519638258,0.138466150767975,135,-0.215195902443746
0.62,0.4,1.10896783292487,0.137145389921664,115,-0.223439307409437
0.64,0.4,1.10896783292487,0.137145389921664,114,-0.223439307409437
0.74,0.3,1.14939002495496,0.132974090688102,66,-0.225084125133747
0.74,0.32,1.14935699732061,0.132970290470846,67,-0.225532833470134
0.5,0.32,1.11035216257341,0.136967477833881,125,-0.225684482704717
0.8,0.26,1.15891737018636,0.131911258233266,42,-0.230446187406473
0.8,0.42,1.14586872451557,0.133201474771787,63,-0.23343127260608
0.82,0.4,1.15111905971885,0.132574384071216,51,-0.238969991565205
0.6,0.34,1.11269220269956,0.136507596389272,108,-0.239415599536641
0.76,0.56,1.13126507651497,0.134592491890192,93,-0.240078222935959
0.76,0.4,1.14490164841379,0.13317445126423,70,-0.241309756836782
0.74,0.46,1.13549574460588,0.134108121779496,88,-0.243234314094946
0.56,0.38,1.10263941054065,0.137437775568763,129,-0.245699565742776
0.74,0.48,1.13174777818956,0.134350473157513,92,-0.252098127115331
0.86,0.56,1.14758318214212,0.132674751957617,57,-0.255340592969661
0.68,0.24,1.14181548968464,0.133071259929251,66,-0.267510239780177
0.5,0.3,1.10816853828674,0.136511895175575,120,-0.268108069837314
0.54,0.56,1.06949313934238,0.140367807521806,190,-0.274971009907868
0.84,0.56,1.14044804904727,0.132987103649787,63,-0.281518917517691
0.88,0.56,1.14732128381514,0.132227255576344,54,-0.284956278411376
0.5,0.54,1.065147620853,0.140605853131865,201,-0.28792922534903
0.82,0.28,1.15414379649886,0.131429247644194,39,-0.291100838958534
0.54,0.38,1.09900573173471,0.137025050499324,133,-0.294730746751755
0.58,0.38,1.09976911175138,0.136914984994471,122,-0.296715357249392
0.84,0.34,1.15266997134242,0.131350517578894,40,-0.305451818597177
0.5,0.44,1.07474678911883,0.139314064920543,166,-0.30712609573579
0.76,0.2,1.16005951294454,0.130529815591919,40,-0.309383095475518
0.58,0.56,1.06794518641195,0.139906767954098,175,-0.313665674975306
0.56,0.58,1.06519678617038,0.14017921771299,193,-0.314251023066796
0.56,0.34,1.10090306168414,0.136308703519737,119,-0.327308300052818
0.8,0.46,1.13668040185616,0.13262554558104,69,-0.328213214032167
0.78,0.22,1.15780459371393,0.130420536066542,40,-0.330642026893288
0.72,0.2,1.14791636013802,0.131405187966796,48,-0.332471525775469
0.7,0.26,1.13631655350444,0.132591242465217,66,-0.332684281145349
0.8,0.48,1.13280944208267,0.132867896959056,73,-0.337864440345159
0.82,0.54,1.13654545102818,0.132397913795322,67,-0.343289144124535
0.52,0.6,1.05596019971583,0.140631457302093,211,-0.345149258107905
