"open_thr","close_thr","m_thr","p_thr","Sharpe","Ann_Ret","Score"
0.57,0.49,0.4,1,1.07947717581039,0.220613625334367,1.46674706579444
0.53,0.5,0.4,1,1.08662367205929,0.219911814038513,1.46662333361901
0.59,0.52,0,0.8,1.13627301241542,0.215090666093216,1.46632903260947
0.55,0.52,0.4,0.8,1.23353388996237,0.205352691172118,1.46271273841477
0.55,0.51,0.2,1,1.04849932722323,0.222388115150953,1.45415702862876
0.53,0.51,0.4,1,1.09692355236291,0.217111535095538,1.44792216093414
0.57,0.52,0.6,1,1.37263258861403,0.190408984303935,1.44701158262947
0.55,0.5,0.4,1,1.07964169229616,0.218499210709114,1.44501689059917
0.59,0.52,0.2,0.9,1.21737130952517,0.204493590814811,1.43766105975683
0.61,0.48,0,1,0.988411798287347,0.22611633003456,1.43270030229046
0.61,0.49,0,1,0.988411798287347,0.22611633003456,1.43270030229046
0.55,0.52,0.7,0.8,1.42814337699807,0.183314372271493,1.42903468450074
0.57,0.51,0.4,1,1.11849153437531,0.212679712578043,1.42358980455619
0.55,0.51,0,1,0.911863304106993,0.232109039466954,1.41823825510813
0.55,0.51,0.4,0.9,1.11708549077335,0.212234050429967,1.41756955323079
0.59,0.53,0.3,0.9,1.44759293925534,0.179612404035438,1.41014239570607
0.59,0.53,0,1,1.22416081231924,0.200942754952716,1.4076790259225
0.55,0.52,0.2,0.8,1.17205660588925,0.205560340285243,1.40341162076777
0.59,0.51,0.4,0.9,1.14023225941142,0.208240394452674,1.39935250170045
0.57,0.52,0.1,1,1.07717916822717,0.214244207670429,1.39849513475401
0.57,0.52,0.5,1,1.31434806243554,0.191276867388856,1.39773855262433
0.55,0.52,0,0.9,0.990668650712443,0.221701784920562,1.38924388150464
0.55,0.53,0,0.8,1.08342782204781,0.21205988489485,1.38212263216119
0.61,0.48,0.4,1,1.21970044034612,0.198764062061913,1.38066031910702
0.61,0.49,0.4,1,1.21970044034612,0.198764062061913,1.38066031910702
0.55,0.52,0.4,0.7,1.21716803758261,0.198536821720349,1.37577592771213
0.57,0.52,0.2,0.9,1.15312073312981,0.20438749655783,1.37233902984939
0.59,0.53,0,0.8,1.28839137630675,0.191181102906219,1.37080119819907
0.55,0.52,0.6,0.8,1.35106969823333,0.184067346272583,1.35979056431258
0.59,0.52,0.3,0.9,1.22157914729637,0.196546036856036,1.3595707295026
0.55,0.53,0.2,1,1.17327311526052,0.201134229989543,1.35879553978215
0.55,0.52,0.1,0.7,1.10868439337693,0.207303031033934,1.35811162885134
0.59,0.52,0.1,0.9,1.13889272165436,0.203716471886852,1.35116861397703
0.59,0.53,0.1,0.9,1.35773633983768,0.182048899000429,1.3455535026618
0.55,0.51,0,0.8,0.966528088477428,0.219681837748893,1.34419710048881
0.57,0.52,0.7,0.9,1.38854454082605,0.178218459756825,1.33668474495118
0.53,0.51,0.2,1,0.998693258494535,0.215506496464832,1.33311330091179
0.55,0.52,0.2,0.7,1.16464118088512,0.199426738188261,1.33248628882065
0.59,0.51,0.2,1,1.03800997060169,0.211168629492392,1.32749507930273
0.55,0.52,0.1,0.8,1.08108490457176,0.206740090731182,1.3246945914188
0.55,0.51,0,0.7,0.980055341738737,0.216464893320637,1.32440739395718
0.57,0.52,0.6,0.9,1.33275754529799,0.181877503523431,1.31881047277964
0.57,0.52,0.7,1,1.37404106608821,0.177748672662525,1.31732278385897
0.55,0.53,0,0.7,1.08002584236192,0.20609522855854,1.31695847194303
0.55,0.53,0,1,0.975226520567443,0.215496815421302,1.30955623096254
0.59,0.52,0,0.9,1.05155952960794,0.20712699557969,1.29918806458059
0.55,0.51,0.3,1,1.03259543939773,0.208100914777538,1.29031685479239
0.57,0.52,0.3,0.9,1.15181567773984,0.196439942599055,1.28873813559376
0.55,0.52,0.7,0.7,1.37720479366293,0.174536039174342,1.28721856965611
0.55,0.53,0.4,0.9,1.22718115020231,0.188591309675206,1.28279969712274
0.59,0.5,0.4,1,1.04751832228207,0.205368341070833,1.27693781469916
0.57,0.5,0.4,1,1.04316192206939,0.205412528929014,1.273040817355
0.59,0.52,0.4,0.8,1.22729267450635,0.187203797347508,1.26854357685915
0.53,0.48,0.4,0.9,1.0294292962399,0.206198464148801,1.26745230015645
0.53,0.49,0.4,0.9,1.0294292962399,0.206198464148801,1.26745230015645
0.57,0.51,0.2,1,1.00462663940908,0.20851569149293,1.26665485660642
0.59,0.53,0.1,0.7,1.38854531399833,0.170968289150961,1.26161048557922
0.55,0.53,0.3,1,1.18413569982378,0.190347944614468,1.2579622705834
0.57,0.52,0.7,0.8,1.37562729535054,0.171618983584846,1.25543582209421
0.59,0.53,0.4,0.7,1.44352447161568,0.164576851086701,1.25038350075347
0.59,0.52,0.6,1,1.31882626771802,0.176462205773266,1.24881003467916
0.53,0.5,0.4,0.9,1.0294972011688,0.204141949464115,1.24622510423811
0.55,0.48,0.4,0.9,1.02237696296992,0.204785860819403,1.24577553335363
0.55,0.49,0.4,0.9,1.02237696296992,0.204785860819403,1.24577553335363
0.59,0.48,0.4,0.9,1.02556951581101,0.204450021096161,1.24548913946722
